name,box_size,pc_per_arcsec,n_fit_points,relative_uncertainty,redchi,quality_score,quality_class,r0,sig2,m,s0,noise,r_fit_max,r0_over_rfitmax,s0_arcsec,noise_fraction,r0_frac_uncertainty,sig2_frac_uncertainty,s0_frac_uncertainty,noise_frac_uncertainty,m_abs_uncertainty,max_residual_run,n_active_flags,active_flags,r0_near_bound,sig2_near_bound,m_near_bound,s0_near_bound,noise_near_bound,large_r0_uncertainty,large_sig2_uncertainty,large_s0_uncertainty,large_noise_uncertainty,large_m_uncertainty,redchi_too_low,redchi_too_high,r0_larger_than_fit_range,r0_much_larger_than_fit_range,large_s0_arcsec,large_noise_fraction,systematic_residuals
LVM-30Dor-6563_G30,165.06639829460372,0.2424068405547679,21,0.0661249999999999,0.8227042616127823,15,D,160.38821344827502,840.7486370788704,0.995617852509022,0.3635847555469317,1.3995880327147992e-09,81.40082979960958,1.970351086630376,1.4998947831457154,2.0922543345518972e-11,0.5885935279259443,0.5207051462881124,0.9063027213212532,13193771088.359291,0.2007403691843343,8,10,r0_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals,True,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True
LVM-30Dor-6563_G31,163.41417898907793,0.2424068405547679,21,0.0874503124999999,0.8842998954635778,14,D,23.01725217060955,227.16639316010512,1.0038087542743916,0.3636102603533832,2.4244326682618e-09,81.39292952175853,0.2827917892358993,1.499999998024937,2.5525406051761957e-11,5.854198810092497,2.3088347156713422,0.9045397947536402,14010517461.92526,0.3078152591705811,5,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G32,162.85162450562865,0.2424068405547679,26,0.3537852882244488,0.8048661989886432,16,D,17.358245310445014,48.8133933344653,1.999999879320451,0.3636102327933781,1.4507886839904414e-08,81.32318879062318,0.2134476717967369,1.499999884331755,1.1638236758965787e-09,5.252193014858667,3.902247861898881,0.907735707739892,357088424.3929749,0.8095725607278477,9,10,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G33,163.6491655335995,0.2424068405547679,26,0.152951143126953,0.8501131915932666,14,D,22.073744079369895,33.89599981873102,1.2635982366914702,0.3636102601914712,1.7134628944842943e-10,81.34417141302282,0.2713623323703312,1.4999999973570022,2.5318376476388807e-11,5.236667142214129,3.082004011209832,0.9049741839181058,16872874067.6755,0.371163700522054,9,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G34,161.41270075011062,0.2424068405547679,13,0.05,0.8575354730858293,19,D,161.41245683054734,202.10447192151173,1.3344120775712196,0.3636063480057312,30.14687761208521,72.55655480258325,2.2246433457284347,1.499983858432329,0.5839193515003548,0.6379142814623683,0.6758562622856955,0.9094480664035596,0.717938393114032,0.5892713176360658,5,11,r0_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_m_uncertainty; r0_larger_than_fit_range; r0_much_larger_than_fit_range; large_s0_arcsec; large_noise_fraction; systematic_residuals,True,False,False,True,False,True,True,True,False,True,False,False,True,True,True,True,True
LVM-30Dor-6563_G35,162.10086299268792,0.2424068405547679,13,0.0216163797955778,0.6475074796845404,6,C,137.8879729254819,189.8919659553928,1.6617186989667272,0.0242406866080945,10.185623752784696,72.56144392525938,1.9002925722855095,0.1000000105303042,0.4509429134894692,0.4296331317926848,0.5455888490103091,13.662291280973273,0.2176706749580552,0.2240324734105032,3,5,sig2_near_bound; s0_near_bound; large_sig2_uncertainty; large_s0_uncertainty; r0_larger_than_fit_range,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False
LVM-30Dor-6563_G36,162.2932664808788,0.2424068405547679,24,0.4068530814581161,0.9991632236214054,16,D,26.823821558961185,35.969915815996345,1.9999999987610404,0.363610230789402,0.1615396930626531,72.44415109142682,0.3702689748563507,1.4999998760647602,0.0376479013841582,3.412796641404616,3.24080549269087,0.9095915117268388,19.27252108791952,0.6535836235667742,8,10,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G37,163.28306688527627,0.2424068405547679,26,0.0874503124999999,0.940830322201288,13,D,141.60127357246608,199.57563816587725,0.8436586504067878,0.3635951899416,1.0867273544224384e-08,81.33268750291379,1.7410130898157417,1.4999378281136069,6.90430034535395e-10,0.6479367037598103,0.5187024820985549,0.9033899982537552,578438122.5968306,0.2064839127936606,9,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True
LVM-30Dor-6563_G38,163.2057845411294,0.2424068405547679,26,0.0874503124999999,0.8561946255457821,12,D,12.806955195408172,72.38144917709216,1.249428683491277,0.3636102519583191,5.628189088907154e-08,81.33252414716942,0.1574641304902116,1.4999999633928116,2.144884572134908e-09,0.2918967117703878,0.1741404852768732,0.9071822471523188,214954105.04305488,0.4559613146629215,8,8,sig2_near_bound; s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,True,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G4,164.28371525534376,0.2424068405547679,21,0.0216163797955778,0.5400046217584917,5,C,8.142904166430474,22.98913719870983,1.321283575504591,0.170102642096426,10.475538444374868,81.40067953175836,0.1000348426238079,0.70172377028277,0.2950659373901933,0.2598292351669925,0.230079819148313,1.0903330529614952,0.8955008441119692,0.4532076948427082,5,3,large_s0_uncertainty; large_m_uncertainty; systematic_residuals,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
LVM-30Dor-6563_G5,162.69683147365026,0.2424068405547679,20,0.0285876622796516,0.5724046342257625,15,D,7.040752068821427,43.649515410312816,0.5208576954348775,0.3636102606862024,7.648526983419483e-05,72.51075746912142,0.0970994141361675,1.499999999397915,1.7482621441376822e-06,2.7350149570017597,0.3854310287138597,0.9042080048972712,313822.6297053945,0.3784962678918729,5,9,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,True,False,True,True,True,False,False,False,False,True,False,True
