filename,object,date_obs,mjd_obs,instrument,telescope,arcfile,prog_id,pro_catg,dpr_catg,dpr_type,dpr_tech,ra_deg,dec_deg
ADP.2019-01-31T23_53_46.128.fits,pos053,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.128.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8456666666652,-69.1237777777766
ADP.2019-01-31T23_53_46.137.fits,t23,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.137.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5036666666652,-69.0333055555544
ADP.2019-01-31T23_53_46.141.fits,pos089,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.141.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6809166666652,-69.0710833333322
ADP.2019-01-31T23_53_46.146.fits,u35,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.146.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.9085833333319,-69.1444166666655
ADP.2019-01-31T23_53_46.150.fits,u22,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.150.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8151249999986,-69.1333055555544
ADP.2019-01-31T23_53_46.154.fits,pos085,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.154.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5423333333319,-69.0561388888877
ADP.2019-01-31T23_53_46.163.fits,pos024,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.163.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5998749999986,-69.041722222221
ADP.2019-01-31T23_53_46.172.fits,pos068,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.172.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8513749999986,-69.0875833333322
ADP.2019-01-31T23_53_46.189.fits,t32,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.189.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5659583333319,-69.0666388888877
ADP.2019-01-31T23_53_46.197.fits,t14,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.197.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5815416666652,-69.1777499999989
ADP.2019-01-31T23_53_46.201.fits,pos037,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.201.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6101249999986,-69.1633888888877
ADP.2019-01-31T23_53_46.206.fits,t42,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.206.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6282499999986,-69.0777499999988
ADP.2019-01-31T23_53_46.226.fits,pos096,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.226.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4287499999986,-69.1796666666655
ADP.2019-01-31T23_53_46.231.fits,t08,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.231.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5192499999986,-69.1777499999989
