group,bin,line,fit_limit,fit_limits_used,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
MUSE,4,S2,,"(0.5, 0.6, 0.7)",sig2,9.80109532878255,0.7447099270646707,0.5687353664328327,9.056385401717879,10.369830695215382,3
MUSE,4,S2,,"(0.5, 0.6, 0.7)",r0,0.06394143836788962,0.00590153067338544,0.004341955193534766,0.058039907694504185,0.06828339356142439,3
MUSE,4,S2,,"(0.5, 0.6, 0.7)",m,1.1585295752864406,0.06530537961473071,0.1343207623164251,1.09322419567171,1.2928503376028657,3
MUSE,4,S2,,"(0.5, 0.6, 0.7)",noise,0.36889552284124866,0.2967034173791787,0.482463909546965,0.07219210546206994,0.8513594323882137,3
MUSE,4,S2,,"(0.5, 0.6, 0.7)",s0,1.4715632025372876,1.2365631983397356,1.989179014402653,0.23500000419755196,3.4607422169399404,3
MUSE,4,Ar,,"(0.5, 0.6, 0.7)",sig2,9.460285990805785,1.0507207931596536,0.8230538030221126,8.409565197646131,10.283339793827897,3
MUSE,4,Ar,,"(0.5, 0.6, 0.7)",r0,0.05452431592595591,0.00718872651447397,0.0054432035181362845,0.04733558941148194,0.0599675194440922,3
MUSE,4,Ar,,"(0.5, 0.6, 0.7)",m,1.0742839230234866,0.10235208208809299,0.21621783121784022,0.9719318409353936,1.2905017542413268,3
MUSE,4,Ar,,"(0.5, 0.6, 0.7)",noise,0.6172253343794526,0.44651756597903225,0.988279736418385,0.17070776840042035,1.6055050707978376,3
MUSE,4,Ar,,"(0.5, 0.6, 0.7)",s0,0.9083267520049945,0.6733267414832619,2.539609946751581,0.23500001052173258,3.4479366987565756,3
MUSE,4,H,,"(0.5, 0.6, 0.7)",sig2,8.318076609776803,0.6604820846690727,0.5655202756268132,7.65759452510773,8.883596885403616,3
MUSE,4,H,,"(0.5, 0.6, 0.7)",r0,0.06723046268652437,0.006911875845992545,0.004423586843866553,0.060318586840531825,0.07165404953039092,3
MUSE,4,H,,"(0.5, 0.6, 0.7)",m,1.2863439167094466,0.07247372321487644,0.15065806912008672,1.2138701934945701,1.4370019858295333,3
MUSE,4,H,,"(0.5, 0.6, 0.7)",noise,0.18724462419903207,0.13570679309499728,0.37473233551414187,0.05153783110403479,0.561976959713174,3
MUSE,4,H,,"(0.5, 0.6, 0.7)",s0,0.8708146112080606,0.5628802952358236,2.5591176239831603,0.30793431597223697,3.429932235191221,3
MUSE,4,O,,"(0.5, 0.6, 0.7)",sig2,7.524705691344612,0.9488364648769059,0.8896787547491654,6.575869226467706,8.414384446093777,3
MUSE,4,O,,"(0.5, 0.6, 0.7)",r0,0.06408226577165187,0.01019617347849252,0.007992006427069084,0.05388609229315935,0.07207427219872095,3
MUSE,4,O,,"(0.5, 0.6, 0.7)",m,1.3053766945976075,0.13305552496734774,0.26954504765065956,1.1723211696302598,1.574921742248267,3
MUSE,4,O,,"(0.5, 0.6, 0.7)",noise,0.32580884380232256,0.22477354682012568,0.5329408212121503,0.10103529698219688,0.8587496650144728,3
MUSE,4,O,,"(0.5, 0.6, 0.7)",s0,0.6971789206640115,0.46217886291750865,2.7372282093655484,0.2350000577465029,3.4344071300295598,3
MUSE trim,2,N,,"(0.5, 0.6, 0.7)",sig2,9.997364853017748,0.6267983651221023,0.6034621887603642,9.370566487895646,10.600827041778112,3
MUSE trim,2,N,,"(0.5, 0.6, 0.7)",r0,0.045877969419937555,0.004392736518892791,0.005537618246828885,0.04148523290104476,0.05141558766676644,3
MUSE trim,2,N,,"(0.5, 0.6, 0.7)",m,0.8994642072327096,0.04145755273712015,0.04794879264192342,0.8580066544955894,0.947412999874633,3
MUSE trim,2,N,,"(0.5, 0.6, 0.7)",noise,0.5129141572769425,0.15128596227044555,0.38271219140312696,0.3616281950064969,0.8956263486800694,3
MUSE trim,2,N,,"(0.5, 0.6, 0.7)",s0,0.4236141976388554,0.16727539699795638,1.0972907968123442,0.256338800640899,1.5209049944511996,3
MUSE trim,2,H,,"(0.5, 0.6, 0.7)",sig2,11.571044747665796,0.9608209534290015,1.344787511944201,10.610223794236795,12.915832259609997,3
MUSE trim,2,H,,"(0.5, 0.6, 0.7)",r0,0.06531357464376801,0.007270434968575955,0.010158110738708676,0.058043139675192056,0.07547168538247669,3
MUSE trim,2,H,,"(0.5, 0.6, 0.7)",m,1.204112588426227,0.05765263449936109,0.06562452588799017,1.1464599539268658,1.269737114314217,3
MUSE trim,2,H,,"(0.5, 0.6, 0.7)",noise,0.5590778697452723,0.06993768486743723,0.13730156577650587,0.48914018487783506,0.6963794355217782,3
MUSE trim,2,H,,"(0.5, 0.6, 0.7)",s0,0.38908112773098513,0.14001086237722762,0.8415868367533123,0.2490702653537575,1.2306679644842973,3
MUSE trim,2,O,,"(0.5, 0.6, 0.7)",sig2,12.641275256002741,2.0335260469484613,3.4675300392146173,10.60774920905428,16.10880529521736,3
MUSE trim,2,O,,"(0.5, 0.6, 0.7)",r0,0.07659824024178673,0.016556474006848967,0.0295245385508435,0.06004176623493776,0.10612277879263023,3
MUSE trim,2,O,,"(0.5, 0.6, 0.7)",m,1.1337489975022048,0.09282326438046784,0.11081516381266554,1.040925733121737,1.2445641613148704,3
MUSE trim,2,O,,"(0.5, 0.6, 0.7)",noise,0.7442051861732383,0.13111422646504534,0.2311781686640274,0.6130909597081929,0.9753833548372657,3
MUSE trim,2,O,,"(0.5, 0.6, 0.7)",s0,0.4540054911277475,0.20063144677105568,1.2118506688788384,0.25337404435669186,1.665856160006586,3
KPNO,0,N,,"(0.5, 0.6, 0.7)",sig2,8.36592083443453,0.46584385215144497,0.46074853918823244,7.9000769822830845,8.826669373622762,3
KPNO,0,N,,"(0.5, 0.6, 0.7)",r0,0.04114781881385799,0.0033211778132794384,0.0035027161799709577,0.03782664100057855,0.04465053499382895,3
KPNO,0,N,,"(0.5, 0.6, 0.7)",m,1.0125419887416314,0.06955866226028729,0.06449933803003183,0.9429833264813441,1.0770413267716632,3
KPNO,0,N,,"(0.5, 0.6, 0.7)",noise,0.03457682486982177,0.009705492742029049,0.010331331995777765,0.02487133212779272,0.044908156865599534,3
KPNO,0,N,,"(0.5, 0.6, 0.7)",s0,2.2644538141128114,0.43998837268488405,0.5367163557908786,1.8244654414279273,2.80117016990369,3
KPNO,0,S,,"(0.5, 0.6, 0.7)",sig2,7.141589468948524,0.3224971520752318,0.2667348706178201,6.819092316873292,7.408324339566344,3
KPNO,0,S,,"(0.5, 0.6, 0.7)",r0,0.039747498726615905,0.0027081807022267673,0.0023704966832740135,0.03703931802438914,0.04211799540988992,3
KPNO,0,S,,"(0.5, 0.6, 0.7)",m,0.9944156965684091,0.03964124690103199,0.04791660184623836,0.9547744496673771,1.0423322984146475,3
KPNO,0,S,,"(0.5, 0.6, 0.7)",noise,0.06368632255079865,0.01869499584235023,0.013706679941762334,0.044991326708448416,0.07739300249256098,3
KPNO,0,S,,"(0.5, 0.6, 0.7)",s0,1.6616248639190054,0.35916693186556614,0.2981636961959367,1.3024579320534393,1.959788560114942,3
KPNO,0,H,,"(0.5, 0.6, 0.7)",sig2,11.074628662906598,0.30487325231756657,0.4901519261866003,10.769755410589031,11.564780589093198,3
KPNO,0,H,,"(0.5, 0.6, 0.7)",r0,0.06300264834363856,0.002321497127434638,0.003767590481702124,0.06068115121620392,0.06677023882534068,3
KPNO,0,H,,"(0.5, 0.6, 0.7)",m,1.2263798185655108,0.03439717952066723,0.02542774607580567,1.1919826390448436,1.2518075646413165,3
KPNO,0,H,,"(0.5, 0.6, 0.7)",noise,0.024504097488585046,0.004635885750801955,0.004586189586881954,0.019868211737783092,0.029090287075467,3
KPNO,0,H,,"(0.5, 0.6, 0.7)",s0,1.8138804192478457,0.2171381011961071,0.275786180004718,1.5967423180517386,2.089666599252564,3
KPNO,0,O,,"(0.5, 0.6, 0.7)",sig2,10.196648632429941,0.6074620935318258,0.7700825364982773,9.589186538898115,10.966731168928218,3
KPNO,0,O,,"(0.5, 0.6, 0.7)",r0,0.05952578384498578,0.004614765343603916,0.005987359195327523,0.054911018501381866,0.0655131430403133,3
KPNO,0,O,,"(0.5, 0.6, 0.7)",m,1.2436422318854812,0.05281169482948678,0.05440237944155357,1.1908305370559944,1.2980446113270347,3
