group,bin,line,fit_limit,fit_limits_used,selection_mode,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
MUSE,4,S2,0.5,"(0.5,)",single,sig2,10.000420564597045,0.16187037328731435,0.3694101306183377,9.83855019130973,10.369830695215382,1
MUSE,4,S2,0.5,"(0.5,)",single,r0,0.06577789874052992,0.0016289850869034006,0.0025054948208944744,0.06414891365362652,0.06828339356142439,1
MUSE,4,S2,0.5,"(0.5,)",single,m,1.126159070366451,0.0329348746947411,0.04173643611948741,1.09322419567171,1.1678955064859384,1
MUSE,4,S2,0.5,"(0.5,)",single,noise,0.10902436860943203,0.03683226314736211,0.5380385856402063,0.07219210546206992,0.6470629542496383,1
MUSE,4,S2,0.5,"(0.5,)",single,s0,0.23500000419755196,0.0,3.225742212742389,0.23500000419755196,3.460742216939941,1
MUSE,4,Ar,0.5,"(0.5,)",single,sig2,9.937883751695932,0.24631244524575813,0.3454560421319659,9.691571306450173,10.283339793827897,1
MUSE,4,Ar,0.5,"(0.5,)",single,r0,0.05699934279947642,0.0012967254188834612,0.0029681766446157803,0.055702617380592956,0.0599675194440922,1
MUSE,4,Ar,0.5,"(0.5,)",single,m,1.0083974774899542,0.03646563655456059,0.05365161664156348,0.9719318409353936,1.0620490941315177,1
MUSE,4,Ar,0.5,"(0.5,)",single,noise,0.26393195129633157,0.09322418289591122,0.8236410577870903,0.17070776840042035,1.087573009083422,1
MUSE,4,Ar,0.5,"(0.5,)",single,s0,0.23500001052173258,0.0,3.212936688234843,0.23500001052173258,3.4479366987565756,1
MUSE,4,H,0.5,"(0.5,)",single,sig2,8.62829683385837,0.1636469124019797,0.2553000515452464,8.46464992145639,8.883596885403616,1
MUSE,4,H,0.5,"(0.5,)",single,r0,0.06981764109326509,0.00170504824946828,0.0018364084371258332,0.06811259284379681,0.07165404953039092,1
MUSE,4,H,0.5,"(0.5,)",single,m,1.2511008380609008,0.03723064456633063,0.030542459328345206,1.2138701934945701,1.281643297389246,1
MUSE,4,H,0.5,"(0.5,)",single,noise,0.17611452137973818,0.1245766902757034,0.21073366262703772,0.05153783110403479,0.3868481840067759,1
MUSE,4,H,0.5,"(0.5,)",single,s0,1.3005609132318159,0.9859203372564027,2.109995649378877,0.3146405759754132,3.410556562610693,1
MUSE,4,O,0.5,"(0.5,)",single,sig2,8.009436999445235,0.26677235669707144,0.4049474466485421,7.742664642748164,8.414384446093777,1
MUSE,4,O,0.5,"(0.5,)",single,r0,0.06832572704990694,0.003100115210840637,0.0037485451488140087,0.0652256118390663,0.07207427219872095,1
MUSE,4,O,0.5,"(0.5,)",single,m,1.2442974980098744,0.07197632837961465,0.06423207402229081,1.1723211696302598,1.3085295720321652,1
MUSE,4,O,0.5,"(0.5,)",single,noise,0.27860325096438854,0.16608542016639893,0.26631653554753454,0.1125178307979896,0.5449197865119231,1
MUSE,4,O,0.5,"(0.5,)",single,s0,1.1225835100462165,0.81163560018213,2.3002328457137526,0.3109479098640865,3.422816355759969,1
MUSE trim,2,N,,"(0.4, 0.5, 0.6)",average,sig2,9.776991242023483,0.5869889045345467,0.8238357997546295,9.190002337488936,10.600827041778112,3
MUSE trim,2,N,,"(0.4, 0.5, 0.6)",average,r0,0.04436028779344666,0.004145491622347237,0.007055299873319779,0.04021479617109942,0.05141558766676644,3
MUSE trim,2,N,,"(0.4, 0.5, 0.6)",average,m,0.9126371608038903,0.05463050630830091,0.043970548362436856,0.8580066544955894,0.9566077091663272,3
MUSE trim,2,N,,"(0.4, 0.5, 0.6)",average,noise,0.5616554377918166,0.2000272427853197,0.3339709108882528,0.3616281950064969,0.8956263486800694,3
MUSE trim,2,N,,"(0.4, 0.5, 0.6)",average,s0,0.47639574062125867,0.22005693998035966,1.0445092538299408,0.256338800640899,1.5209049944511994,3
MUSE trim,2,H,,"(0.4, 0.5, 0.6)",average,sig2,12.121339434605746,0.9914476048323948,1.3667534608488747,11.129891829773351,13.48809289545462,3
MUSE trim,2,H,,"(0.4, 0.5, 0.6)",average,r0,0.06929422323319183,0.007494326006075511,0.010364905761131818,0.06179989722711632,0.07965912899432365,3
MUSE trim,2,H,,"(0.4, 0.5, 0.6)",average,m,1.1829983022315793,0.0488550741346192,0.05372592763278505,1.13414322809696,1.2367242298643644,3
MUSE trim,2,H,,"(0.4, 0.5, 0.6)",average,noise,0.5413830652767085,0.06156639985198997,0.11760291852792915,0.47981666542471857,0.6589859838046377,3
MUSE trim,2,H,,"(0.4, 0.5, 0.6)",average,s0,0.39829976095741154,0.14922949560365406,0.6845664508705647,0.24907026535375748,1.0828662118279762,3
MUSE trim,2,O,,"(0.4, 0.5, 0.6)",average,sig2,14.10704789150016,2.461774783654759,4.330164983045632,11.645273107845401,18.437212874545793,3
MUSE trim,2,O,,"(0.4, 0.5, 0.6)",average,r0,0.08841807664702038,0.020324483209252175,0.037972178196350445,0.0680935934377682,0.12639025484337083,3
MUSE trim,2,O,,"(0.4, 0.5, 0.6)",average,m,1.0943961990816964,0.07797535622122775,0.08779057269835056,1.0164208428604686,1.182186771780047,3
MUSE trim,2,O,,"(0.4, 0.5, 0.6)",average,noise,0.7052839975530981,0.118844308702169,0.18226909093851318,0.5864396888509291,0.8875530884916113,3
MUSE trim,2,O,,"(0.4, 0.5, 0.6)",average,s0,0.4692973593613653,0.21592331500467346,0.821507363241941,0.25337404435669186,1.2908047226033061,3
KPNO,0,N,,"(0.4, 0.5, 0.6)",average,sig2,8.147886084952647,0.5249224105144412,0.6604327790060545,7.622963674438206,8.808318863958702,3
KPNO,0,N,,"(0.4, 0.5, 0.6)",average,r0,0.0396248011524904,0.0035851687712696034,0.004883477062935029,0.0360396323812208,0.04450827821542543,3
KPNO,0,N,,"(0.4, 0.5, 0.6)",average,m,1.0363456769219426,0.0898091984751671,0.06857562087959934,0.9465364784467755,1.104921297801542,3
KPNO,0,N,,"(0.4, 0.5, 0.6)",average,noise,0.03353176280665077,0.010118430123472067,0.011269214513471439,0.0234133326831787,0.044800977320122205,3
KPNO,0,N,,"(0.4, 0.5, 0.6)",average,s0,2.127883010243046,0.44300583190615894,0.6449090221013298,1.6848771783368872,2.772792032344376,3
KPNO,0,S,,"(0.4, 0.5, 0.6)",average,sig2,7.0256040514522695,0.373673636367327,0.38272028811407477,6.6519304150849425,7.408324339566344,3
KPNO,0,S,,"(0.4, 0.5, 0.6)",average,r0,0.03879238586312375,0.003019599092052093,0.0033256095467661673,0.03577278677107166,0.04211799540988992,3
KPNO,0,S,,"(0.4, 0.5, 0.6)",average,m,1.006678217476133,0.05190376780875594,0.048290436478837906,0.9547744496673771,1.054968653954971,3
KPNO,0,S,,"(0.4, 0.5, 0.6)",average,noise,0.06210199770029098,0.01711067099184256,0.015291004792270003,0.044991326708448416,0.07739300249256098,3
